Mes;gopph_TOTAL;gopph_Logroño y Alrededores ;gopph_plaza_Resto municipios;gopph_finde_TOTAL;gopph_Logroño y Alrededores _finde ;gopph_Resto municipios_finde;goppa_TOTAL;goppa_Logroño y Alrededores ;goppa_Resto municipios;goppa_finde_TOTAL;goppa_Logroño y Alrededores _finde ;goppa_Resto municipios_finde;gopptr_TOTAL;gopptr_Logroño y Alrededores ;gopptr_Resto municipios;gopptr_finde_TOTAL;gopptr_Logroño y Alrededores _finde ;gopptr_Resto municipios_finde;goppc_TOTAL;goppc_Logroño y Alrededores ;goppc_plaza_Resto municipios;goppc_finde_TOTAL;goppc_Logroño y Alrededores _finde ;goppc_Resto municipios_finde
2016M06;43,97;55,29;36,01;61,26;75,12;51,48;14,70;13,73;14,87;28,19;28,66;28,11;13,48;9,61;14,01;36,30;31,92;36,65;61,96;79,92;56,72;39,78;12,20;28,87
2016M05;47,52;60,03;38,71;65,91;83,25;53,44;24,84;19,17;25,58;43,91;44,94;43,61;18,83;14,40;19,42;48,66;31,11;51,24;56,47;60,33;55,28;57,00;18,45;42,05
2016M04;39,74;51,46;31,37;58,20;74,15;46,73;14,86;14,01;14,99;40,30;40,03;40,32;16,41;9,85;17,40;40,93;29,36;42,56;;;;;;
2016M03;44,39;55,01;36,47;65,65;77,23;56,99;9,31;10,37;9,11;20,10;24,69;19,15;24,50;14,86;25,95;52,36;26,30;56,42;;;;;;
2016M02;35,74;46,34;27,25;56,22;69,00;45,97;23,79;20,96;24,47;33,07;32,88;33,09;12,47;7,77;13,16;36,13;25,77;37,51;;;;;;
2016M01;29,95;39,54;21,87;42,59;58,55;29,02;17,70;18,39;17,51;43,45;43,96;43,24;10,53;1,21;12,16;26,42;3,74;30,32;;;;;;
2015M12;36,60;46,74;28,65;41,66;49,71;35,33;;;;;;;22,09;8,25;24,30;44,56;9,74;50,25;;;;;;
2015M11;40,94;54,04;32,18;59,68;75,43;49,23;;;;;;;;;;;;;;;;;;
2015M10;51,41;66,27;41,88;68,34;84,58;57,96;;;;;;;;;;;;;;;;;;
2015M09;58,94;76,86;47,39;72,27;87,83;62,42;;;;;;;;;;;;;;;;;;
2015M08;61,68;77,15;51,62;65,95;82,64;55,00;;;;;;;;;;;;;;;;;;
2015M07;46,69;60,64;37,42;60,86;72,32;53,47;;;;;;;;;;;;;;;;;;
2015M06;46,57;60,80;37,31;64,91;85,03;51,71;;;;;;;;;;;;;;;;;;
2015M05;49,37;60,81;41,90;66,55;79,59;58,16;;;;;;;;;;;;;;;;;;
2015M04;46,51;55,16;40,74;63,60;78,36;53,31;;;;;;;;;;;;;;;;;;
2015M03;39,57;53,24;29,96;62,31;79,64;50,28;;;;;;;;;;;;;;;;;;
2015M02;32,11;45,33;22,18;47,43;62,45;36,30;;;;;;;;;;;;;;;;;;
2015M01;28,23;41,34;17,48;38,44;50,73;28,68;;;;;;;;;;;;;;;;;;
